k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
1,5.0,1e-05,0.0001,0.0492842815030737,0.5010664113554599,0.8601863366699966,0.2279957837095903,0.0616398031289581,0.263191466661824,0.1150362615191668
1,10.0,0.1,0.0001,0.0278363562072957,0.5000006009535931,0.0,2.2836236540141897e-05,0.0556737866369745,0.0556941509224095,0.1054753605549546
1,10.0,0.01,0.0001,0.0278363878014979,0.5000024038143726,0.9998980652789954,0.0005769154494351,0.0556975710244532,0.0562117081431272,0.1055174758075273
1,10.0,0.001,0.0001,0.0278363878014979,0.5000024038143726,0.9999592261115982,0.0031826502293839,0.0558382626831145,0.0586757799110618,0.1057702571423334
1,10.0,0.0001,0.0001,0.0295953328082744,0.4739502837022399,0.9949440378381684,0.1286882024396312,0.0630738332058148,0.1769149049669603,0.118627361614983
1,10.0,1e-05,0.0001,0.0449242353413986,0.4948165499641729,0.8737028806752156,0.2712464138094328,0.066014877069319,0.3047867232952959,0.1227547054156319
1,15.0,0.1,0.0001,0.0474882549801147,0.50003407980616,0.9995514872275796,0.002019204073023,0.0557553220524017,0.0575544059328401,0.1056191708198201
1,15.0,0.01,0.0001,0.034008092309901,0.499928440799415,0.9999592261115982,0.0004675418954797,0.05569503253769,0.0561118286794799,0.1055132609532742
1,15.0,0.001,0.0001,0.0278363878014979,0.5000024038143726,0.0,0.0016826700608525,0.0557611900934677,0.0572615775053287,0.1056322028441509
1,15.0,0.0001,0.0001,0.0288367424643778,0.4808002890882217,0.9988583311247478,0.0648705365674252,0.0592418924033261,0.1168680524185585,0.111850005250638
1,15.0,1e-05,0.0001,0.0421632150099905,0.5233188624798493,0.8864039469123973,0.2960754124644986,0.0691073063425054,0.3289405285893614,0.1282182473389235
1,20.0,0.1,0.0001,,,0.0,0.0,0.0,0.0,0.0
1,20.0,0.01,0.0001,0.0320731084382063,0.4999440884665883,0.9999796130557992,0.0003786007636918,0.0556914252236172,0.0560289741244089,0.105506900968706
1,20.0,0.001,0.0001,0.0278363878014979,0.5000024038143726,0.0,0.0011249851263985,0.0557317929478279,0.0567349403333704,0.1055794536455379
1,20.0,0.0001,0.0001,0.0287119588051926,0.5062869333095021,0.9992660700087664,0.0503082290979326,0.058408973639398,0.1031391661426778,0.1103668010177658
1,20.0,1e-05,0.0001,0.0374731643809317,0.4885489308481303,0.9054861266844711,0.306294027362619,0.0714543120340548,0.3396526010655323,0.132456157354873
3,0.01,0.1,0.0001,0.4309127053607777,0.5158696343220339,0.7922774255366863,0.2489005554013108,0.0585460653675512,0.2791517509550973,0.1090348972274127
3,0.01,0.01,0.0001,0.4309270403785418,0.5802145503349979,0.3361807098733971,0.8796902925562282,0.1414370137834615,0.8494317085517251,0.1991064960154552
3,0.01,0.001,0.0001,0.1178967294926035,0.6864202700155856,0.552445413956902,0.8584922555110449,0.1870969523730615,0.8414538363928986,0.2795265234546251
3,0.01,0.0001,0.0001,0.0550427062834203,0.4999932053443132,0.9639354957085482,0.0397903393104177,0.0558765379283775,0.0912398900417904,0.1056300112372352
3,0.01,1e-05,0.0001,0.0550483145767583,0.4999984788526804,0.9638743348759454,0.0398071660110262,0.0558741151305293,0.0912523749747463,0.1056253148663849
3,0.1,0.1,0.0001,0.4309049511095371,0.5157595834379651,0.7924812949786957,0.2387252091618981,0.0578227801404514,0.2695542424937178,0.1077813761589991
3,0.1,0.01,0.0001,0.4309165851469277,0.5805562944289643,0.7866506289372286,0.4106928874738434,0.0729557417715392,0.431623427182196,0.1335278148342322
3,0.1,0.001,0.0001,0.1183339796571281,0.6924054359196832,0.6458176183971784,0.8266032540435162,0.1800438770986552,0.8165384501885224,0.2815859767019116
3,0.1,0.0001,0.0001,0.0550175733524085,0.4999991140127613,0.963079244052109,0.0407398459876131,0.0558818484541997,0.0920888654827923,0.1056343539734751
3,0.1,1e-05,0.0001,0.0550447713447573,0.4999948450994437,0.9638743348759454,0.039802358382281,0.0558738510046397,0.091247834999126,0.1056248429165852
3,0.5,0.1,0.0001,0.4309415275019643,0.5163254653593373,0.7909318872194246,0.2861103999826925,0.0613123459131424,0.3142151176648181,0.1138027987228132
3,0.5,0.01,0.0001,0.430947278274021,0.5810529389518643,0.7867525636582333,0.4073347587952563,0.0725810850205475,0.4284579291809203,0.1329014749993973
3,0.5,0.001,0.0001,0.4377856313704946,0.6633797134193152,0.6591506799045891,0.7198726939908247,0.1218232033790377,0.7164921424371952,0.2056402885019017
3,0.5,0.0001,0.0001,0.0485806546787157,0.4945439040659156,0.8817353366903835,0.2452058927105531,0.0644323177608242,0.280643132946376,0.1200891853094136
3,0.5,1e-05,0.0001,0.055035176993367,0.5000066003696971,0.9639354957085482,0.0397927431247904,0.0558766699953319,0.0912421600296006,0.1056302472197275
3,1.0,0.1,0.0001,0.0318690731342665,0.5000895864239482,0.793908381072761,0.2623366758372185,0.0596642183224398,0.2919306473324238,0.1109874497140666
3,1.0,0.01,0.0001,0.0309950133761019,0.5021155942188474,0.9929868911948788,0.114075414868313,0.0619834921087393,0.1630066896540765,0.116683455969106
3,1.0,0.001,0.0001,0.0320036531424984,0.4352536412530519,0.9571874171780392,0.2810491688210852,0.0727780309582934,0.3186915336264644,0.1352709755581069
3,1.0,0.0001,0.0001,0.0461442469158434,0.4962002429844577,0.8853030519255469,0.2976799585582402,0.0691741947199819,0.3303944557817724,0.128321813674067
3,1.0,1e-05,0.0001,0.0550226231859045,0.5000089908543209,0.9631200179405108,0.0407518650594763,0.0558847431883001,0.0921024854096533,0.1056397711086116
3,5.0,0.1,0.0001,0.0345071514731153,0.499967577346253,0.999653421948584,0.0017211310908149,0.0557449696627948,0.057278602413905,0.1056011646838899
3,5.0,0.01,0.0001,0.0305574864144517,0.4998845947347036,0.998776783347944,0.0059314119645052,0.0559215219840491,0.0612056813254912,0.1059129754258375
3,5.0,0.001,0.0001,0.0281227211576944,0.4987073122868162,0.9924160567572526,0.0960564223309547,0.0607902393945827,0.1459590811997339,0.1145629491387009
3,5.0,0.0001,0.0001,0.0337735497562285,0.521735586524181,0.8163136327495871,0.3812413537801783,0.0721647998125636,0.4054629526639442,0.1326067301864859
3,5.0,1e-05,0.0001,0.0491987843528758,0.4999156853324391,0.8801859289311125,0.2424703519544813,0.0641089796227468,0.2779736272816215,0.1195131336003698
3,10.0,0.1,0.0001,0.0278364825845349,0.4999975961856273,0.0,7.211443117939546e-06,0.0556729651690698,0.0556793960016434,0.1054738863378084
3,10.0,0.01,0.0001,0.0300198898974374,0.4998743778865364,0.9994087786181728,0.0024795345253848,0.055772096886128,0.0579811636411512,0.1056484713169206
3,10.0,0.001,0.0001,0.0278395475839397,0.4999987980928136,0.9979001447473038,0.0189011924121195,0.0565720447555745,0.0734045958173204,0.1070739507636576
3,10.0,0.0001,0.0001,0.030980178509404,0.4140527921454353,0.9958614503272104,0.1254093996353413,0.0629065429346685,0.1738697163196233,0.1183379200744215
3,10.0,1e-05,0.0001,0.0476359652340155,0.501402553450962,0.8866282032986076,0.299456377379626,0.0694340225113754,0.3321457513773151,0.1287827527646539
3,15.0,0.1,0.0001,0.046358962586051,0.5000822664928468,0.9997961305579908,0.0005745116350625,0.0556920826642621,0.0562037631857916,0.105507059298104
3,15.0,0.01,0.0001,0.0278370512963118,0.4999987980928136,0.9995107133391776,0.0015144030547673,0.0557265582908415,0.0570754385048952,0.1055673326306564
3,15.0,0.001,0.0001,0.0278379676030551,0.4999987980928136,0.9990622005667572,0.0077306670224311,0.0560323536675722,0.0629206571160712,0.1061133456397819
3,15.0,0.0001,0.0001,0.0296049269849323,0.5100492735730879,0.9984302052965282,0.0825890523082026,0.0602927597966193,0.1335762976952813,0.113718346586232
3,15.0,1e-05,0.0001,0.0423127101355329,0.519090846510122,0.8859962080283786,0.3369883330869423,0.0730290442486203,0.3675530212402759,0.1349358760399476
3,20.0,0.1,0.0001,,,0.0,0.0,0.0,0.0,0.0
3,20.0,0.01,0.0001,0.035298602838653,0.4999422628300706,0.999714582781187,0.0012247434228633,0.0557220273422807,0.0568132549128211,0.1055603392603435
3,20.0,0.001,0.0001,0.0278375568374002,0.4999987980928136,0.9994495525065747,0.0047475333859768,0.0558942405810155,0.0601251671278525,0.1058678207088376
3,20.0,0.0001,0.0001,0.029560025442625,0.5200522663930413,0.9991845222319626,0.0583129309588454,0.0588717184881772,0.1106936855749084,0.1111920286402678
3,20.0,1e-05,0.0001,0.0375914254416032,0.4726250330421532,0.8959246498542334,0.3439425680670087,0.0745108877182333,0.3746728380068599,0.1375797534296322
5,0.01,0.1,0.0001,0.4309255290181103,0.5160091707942664,0.7923997472018919,0.2399944231506554,0.0579081378007482,0.2707482560818648,0.1079288915546225
5,0.01,0.01,0.0001,0.4310482603678676,0.5808778249022192,0.7661617500152902,0.6255614408944112,0.1076455525066023,0.6333890237009427,0.1887690905118178
5,0.01,0.001,0.0001,0.1175357991069558,0.6827373254604593,0.6418421642779963,0.8312810768126864,0.1831908715865913,0.8207345226556133,0.2850301027567788
5,0.01,0.0001,0.0001,0.0549244565909757,0.500005238628041,0.9829157407596176,0.0184432657741303,0.0557453701616064,0.0721379426192481,0.1055069863118619
5,0.01,1e-05,0.0001,0.0549240256124873,0.4999787563008956,0.9837719924160568,0.0175057781687982,0.0557409544403899,0.071300317117297,0.1055040054572168
5,0.1,0.1,0.0001,0.4309166004216248,0.5158606029638991,0.7924812949786957,0.2387252091618981,0.0578227801404514,0.2695542424937178,0.1077813761589991
5,0.1,0.01,0.0001,0.4309058502578869,0.5802600524004712,0.7865690811604249,0.4147481223204982,0.0734170856183803,0.4354483566423248,0.1342989266737328
5,0.1,0.001,0.0001,0.1185649490315431,0.6901612698658781,0.5675521396097939,0.8509935565755741,0.1833757097500889,0.8352136399027538,0.2771911482836731
5,0.1,0.0001,0.0001,0.0548988983121231,0.5000386590894472,0.9825487757640008,0.0189432591636408,0.0557525348634094,0.072589670193471,0.1055177034163258
5,0.1,1e-05,0.0001,0.0549213969963892,0.4999827370319047,0.9837719924160568,0.0175021724472392,0.0557407612763716,0.0712969121355818,0.105503659449798
5,0.5,0.1,0.0001,0.4309042389312343,0.5156223042876361,0.7893417055717519,0.3406397271189924,0.0659239621803025,0.36562012661992,0.1216850733228152
5,0.5,0.01,0.0001,0.4308980245466601,0.5801648022422095,0.7867525636582333,0.4073347587952563,0.0725810850205475,0.4284579291809203,0.1329014749993973
5,0.5,0.001,0.0001,0.4377981375310206,0.6625581291561254,0.6589875843509816,0.7201323059430704,0.121895941201537,0.7167282211694523,0.2057359624221902
5,0.5,0.0001,0.0001,0.0493491089934419,0.5019696180812518,0.8656908116042487,0.2723750046573903,0.0655439874663312,0.3054064299674711,0.1218614849061422
5,0.5,1e-05,0.0001,0.0549149214192977,0.5000094589759869,0.9829769015922204,0.0184360543310124,0.0557482587340788,0.0721345376375328,0.1055125123230324
5,1.0,0.1,0.0001,0.0381153117408709,0.5158539817297145,0.7928074860859106,0.2872137507797372,0.0615380720138495,0.3153614615089517,0.1142110325484408
