k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
1,0.01,0.1,1e-05,0.4287090631952823,0.5154780792177781,0.7934802803817245,0.2390050452148218,0.0534549795012249,0.2674934046098306,0.10016225355476
1,0.01,0.1,0.0001,0.4287090631952823,0.5154780792177781,0.792078371759142,0.3074287700745118,0.0583303791878898,0.3323295612329908,0.1086588813198016
1,0.01,0.1,0.001,0.4287073296253864,0.5161016808639791,0.5712355375390592,0.8033107221106653,0.1359193646915088,0.7913869411274645,0.2195897139555042
1,0.01,0.01,1e-05,0.4287090631952823,0.5154780792177781,0.7897981589392787,0.3988656271298079,0.0664328163337212,0.4189513329630658,0.1225569210849799
1,0.01,0.01,0.0001,0.4287073296253864,0.5530216223115455,0.7759648678321088,0.574342132346551,0.0898629590363708,0.584701298250486,0.1610724371931091
1,0.01,0.01,0.001,0.4340994226861994,0.6850647731050703,0.580255046026518,0.8177318946313974,0.1470671335736363,0.8055305817828381,0.2346592713772929
1,0.01,0.001,1e-05,0.1035084321831718,0.6889312497548324,0.6824930326830504,0.7994840433074287,0.1556545991047558,0.7934731671757845,0.2534951489810194
1,0.01,0.001,0.0001,0.1035084321831718,0.6889312497548324,0.6824930326830504,0.7994840433074287,0.1556545991047558,0.7934731671757845,0.2534951489810194
1,0.01,0.001,0.001,0.0513780082312364,0.5031287546981181,0.8722236297609999,0.1381702748567168,0.0519664009644577,0.1758851707858928,0.0980887509449875
1,0.01,0.0001,1e-05,0.3944188453610399,0.7717155711570363,0.4445232666159953,0.973353215352456,0.4746600295783285,0.9461824840322132,0.4590976092663822
1,0.01,0.0001,0.0001,0.0513146770490533,0.5030008942008103,0.8638797398868339,0.1465335303238909,0.051973258353208,0.1833900305470702,0.0980477106992508
1,0.01,0.0001,0.001,0.0513146770490533,0.5030008942008103,0.8638797398868339,0.1465335303238909,0.051973258353208,0.1833900305470702,0.0980477106992508
1,0.01,1e-05,1e-05,0.0513093215794382,0.5029526222346992,0.86377839709484,0.1465957378683853,0.0519710693703004,0.1834438350458206,0.0980431627643033
1,0.01,1e-05,0.0001,0.0513093215794382,0.5029526222346992,0.86377839709484,0.1465957378683853,0.0519710693703004,0.1834438350458206,0.0980431627643033
1,0.01,1e-05,0.001,0.0513093215794382,0.5029526222346992,0.86377839709484,0.1465957378683853,0.0519710693703004,0.1834438350458206,0.0980431627643033
1,0.1,0.1,1e-05,0.4286995522702197,0.5153138791689663,0.7934802803817245,0.2390050452148218,0.0534549795012249,0.2674934046098306,0.10016225355476
1,0.1,0.1,0.0001,0.4286995532021138,0.5153138922874443,0.7933958280550629,0.2450977253079502,0.0538577430036415,0.2732687100805331,0.1008682880006184
1,0.1,0.1,0.001,0.4287005362517707,0.517234015162866,0.7894096782366354,0.4073185346464004,0.067285626671811,0.4269499791724521,0.1240019049867937
1,0.1,0.01,1e-05,0.4286995532021138,0.5153138922874443,0.7932607043324044,0.2500880511199645,0.0541879878389994,0.2779956956400999,0.1014461448736918
1,0.1,0.01,0.0001,0.4287005362517707,0.5277359042849238,0.7893590068406384,0.4120829007012071,0.0677898737298645,0.4314669536239933,0.1248570665241784
1,0.1,0.01,0.001,0.4337214284719157,0.6089186060915784,0.2293725192129043,0.9270708022486198,0.1455519828510182,0.8912237920022216,0.1780925215566703
1,0.1,0.001,1e-05,0.0891863577763316,0.6774057442136843,0.7100920530360612,0.7911308508253935,0.1555006491368883,0.7869671618994724,0.2551310215921641
1,0.1,0.001,0.0001,0.0891863577763316,0.6774057442136843,0.7100920530360612,0.7911308508253935,0.1555006491368883,0.7869671618994724,0.2551310215921641
1,0.1,0.001,0.001,0.0511289492060493,0.5031376919586931,0.8709906257917406,0.1417984384076698,0.0521047207178077,0.179263572618717,0.0983272713405187
1,0.1,0.0001,1e-05,0.4015930124804867,0.7706775917274103,0.4441516763786842,0.9722289054674028,0.4641590030536776,0.9450968480977506,0.4539349893835557
1,0.1,0.0001,0.0001,0.0512939034213267,0.5030174948621217,0.8642344396588126,0.1465060858189669,0.0519919035415908,0.1833822202166065,0.0980831733501767
1,0.1,0.0001,0.001,0.0512939034213267,0.5030174948621217,0.8642344396588126,0.1465060858189669,0.0519919035415908,0.1833822202166065,0.0980831733501767
1,0.1,1e-05,1e-05,0.0513063810014773,0.5029567580859751,0.8746896376995186,0.1351339977952914,0.0519322411911944,0.1731315953901694,0.0980434290777355
1,0.1,1e-05,0.0001,0.0513063810014773,0.5029567580859751,0.8746896376995186,0.1351339977952914,0.0519322411911944,0.1731315953901694,0.0980434290777355
1,0.1,1e-05,0.001,0.0513063810014773,0.5029567580859751,0.8746896376995186,0.1351339977952914,0.0519322411911944,0.1731315953901694,0.0980434290777355
1,0.5,0.1,1e-05,0.4287106932840507,0.51552645793956,0.7934802803817245,0.2390050452148218,0.0534549795012249,0.2674934046098306,0.10016225355476
1,0.5,0.1,0.0001,0.4287106932840507,0.51552645793956,0.7922641668777974,0.2869835287229614,0.0567652771642775,0.3129443210219383,0.1059400126479356
1,0.5,0.1,0.001,0.4287106933131027,0.5416848457926177,0.7895616924246263,0.4029658361654538,0.0668398694259,0.4228287281310747,0.1232463899559438
1,0.5,0.01,1e-05,0.4287106932840507,0.51552645793956,0.7895616924246263,0.4029658361654538,0.0668398694259,0.4228287281310747,0.1232463899559438
1,0.5,0.01,0.0001,0.4287106933131027,0.5790852726189868,0.7895616924246263,0.4029658361654538,0.0668398694259,0.4228287281310747,0.1232463899559438
1,0.5,0.01,0.001,0.4321656179021357,0.610598418197488,0.7793091799679082,0.5502330495876463,0.085794349425236,0.5620027422938073,0.154571844466667
1,0.5,0.001,1e-05,0.4355635585728054,0.6614807510615895,0.688962080905329,0.7084890427814091,0.113480504666917,0.707485767842266,0.1948644452406544
1,0.5,0.001,0.0001,0.4355635585728054,0.6614807510615895,0.688962080905329,0.7084890427814091,0.113480504666917,0.707485767842266,0.1948644452406544
1,0.5,0.001,0.001,0.045174580658288,0.5040491456073001,0.8748247614221771,0.2281900806411036,0.0578399523826008,0.2614134962510414,0.1085059224281326
1,0.5,0.0001,1e-05,0.4230426291549391,0.7957613936638058,0.453593446499451,0.9703288309098312,0.4529508003170908,0.9437795056928632,0.453271895623407
1,0.5,0.0001,0.0001,0.0454246662326313,0.5048629931673397,0.8799594628832025,0.2192669572734799,0.0575332209128586,0.2532126492640933,0.1080049008327684
1,0.5,0.0001,0.001,0.0511798850616388,0.5029638172564139,0.8761928891140951,0.1349062084044222,0.0520038655789045,0.1729927450708136,0.0981805139832709
1,0.5,1e-05,1e-05,0.0454460536641283,0.5048868313578548,0.8794189679925682,0.2192797647091111,0.0575008034386068,0.2531970286031658,0.1079437082248354
1,0.5,1e-05,0.0001,0.051296721285242,0.5029625619385936,0.8675111899332827,0.142712340421639,0.0519598371228407,0.1799517495140238,0.0980471136224801
1,0.5,1e-05,0.001,0.051296721285242,0.5029625619385936,0.8675111899332827,0.142712340421639,0.0519598371228407,0.1799517495140238,0.0980471136224801
1,1.0,0.1,1e-05,0.0259751998045764,0.5051016639957642,0.9978549109027952,0.0187711265511862,0.0522040799735612,0.06907543043599,0.0992174687772645
1,1.0,0.1,0.0001,0.0259773852003555,0.5051455752036426,0.9978549109027952,0.0187555746650626,0.0522032957759671,0.0690606775895584,0.0992160524512635
1,1.0,0.1,0.001,0.0277131059947194,0.5082399292427617,0.9967570306561946,0.0655585185456242,0.0546181505185267,0.1134025270758122,0.1035615572929005
1,1.0,0.01,1e-05,0.0259767705205762,0.5051332251764268,0.9978549109027952,0.0187519153977394,0.05220311126231,0.0690572063315745,0.0992157192039633
1,1.0,0.01,0.0001,0.0272992171978471,0.5100566169598535,0.9963516594882188,0.0744359010717079,0.0550919600237966,0.1218029713968342,0.1044106688661895
1,1.0,0.01,0.001,0.0333311915660922,0.5869891100559079,0.969698505193818,0.2338957932148035,0.0641570496093763,0.2717005692863093,0.1203514259121057
